t,x,sigma
1389.6500347222245,1.9338151626743056e-07,6.785516971611032e-08
1396.6500347222245,1.7769338057201813e-07,7.349704154151779e-08
1403.6500347222245,1.9650088946139916e-07,6.004106540896768e-08
1410.6500347222245,1.106340291809014e-07,3.424837615723323e-08
1417.6500347222245,2.9298496561339784e-07,9.642631004798226e-08
1424.6500347222245,4.059645491517591e-07,1.0624937242234135e-07
1431.6500347222245,4.3234460588701327e-07,8.22337825306604e-08
1438.6500347222245,5.794190672152266e-07,8.841663364993461e-08
1445.6500347222245,3.703648705940567e-07,9.918641110074016e-08
1452.6500347222245,4.3931165443281044e-07,8.904243551762108e-08
1459.6500347222245,2.43454422650835e-07,1.4429781495232015e-07
1466.6500347222245,5.085701837399486e-07,9.592974403190402e-08
1473.6500347222245,6.297834921785563e-07,1.1572947602630353e-07
1480.6500347222245,4.6822910422479655e-07,1.0735525513526462e-07
1487.6500347222245,2.864570486972718e-07,9.508013305827077e-08
1494.6500347222245,2.3452819294061288e-07,8.714136484404494e-08
1501.6500347222245,1.98760405731012e-07,7.863877709516228e-08
1508.6500347222245,1.8886044462335556e-07,5.460846512490832e-08
1515.6500347222245,3.985086597497986e-07,7.048191328477564e-08
1522.6500347222245,4.594780112149427e-07,9.85645068093689e-08
1529.6500347222245,1.7949434763025704e-07,6.501150467760187e-08
1536.6500347222245,4.1362978164286114e-07,8.649910495598004e-08
1543.6500347222245,3.6309083885458215e-07,8.55019366959016e-08
1550.6500347222245,6.758155278956287e-07,1.1357511217893574e-07
1557.6500347222245,3.0824414700113404e-07,6.913286462226731e-08
1564.6500347222245,4.068989453858394e-07,7.231434231829785e-08
1571.6500347222245,5.18239924022231e-07,7.384200914794598e-08
1578.6500347222245,2.678487468962055e-07,8.622605568525771e-08
1585.6500347222245,4.6658947904367817e-07,8.923029113459888e-08
1592.6500347222245,2.3355712710874867e-07,7.249262488894772e-08
1599.6500347222245,4.029507121753634e-07,9.341828184654728e-08
1606.6500347222245,4.3613073672323924e-07,9.971682515711746e-08
1613.6500347222245,2.006159936893583e-07,7.384830151786485e-08
1620.6500347222245,1.7685470685774857e-07,5.340395342276622e-08
1627.6500347222245,1.879567618281749e-07,6.94282693584116e-08
1634.6500347222245,1.325886039423638e-07,7.225147197755532e-08
1641.6500347222245,1.3710179843318264e-07,6.059534863813867e-08
1648.6500347222245,2.0726819043059275e-07,5.2300466416015337e-08
1655.6500347222245,4.5806107229871796e-07,9.942802118650819e-08
1662.6500347222245,4.335703908273103e-07,2.134172227994302e-07
1669.6500347222245,1.9496144375361473e-07,6.702360248389907e-08
1676.6500347222245,1.2090864582194923e-07,4.6927819806099386e-08
1683.6500347222245,2.4467555074334663e-08,5.285369247840877e-08
