t,x,sigma
1648.6500347222245,1.337617553637498e-07,9.77717779452889e-08
1655.6500347222245,4.791254124141206e-07,1.4029367817753254e-07
1662.6500347222245,8.136306579745967e-07,1.5996297696596787e-07
1669.6500347222245,5.112862287103499e-07,7.257349461345571e-08
1676.6500347222245,5.430778302627404e-07,9.065809293088446e-08
1683.6500347222245,2.5926870924623327e-07,8.452508069514145e-08
1690.6500347222245,1.41291713493208e-07,6.511082953432063e-08
1697.6500347222245,1.7526852320617208e-07,8.000563025630644e-08
1704.6500347222245,1.7582962011472884e-07,8.572524277021042e-08
1711.6500347222245,2.102476563400673e-07,7.2207454621706e-08
1718.6500347222245,4.3143268314727657e-07,6.670797962929056e-08
1725.6500347222245,3.125782352442662e-07,7.805797435120024e-08
1732.6500347222245,6.820616546568149e-07,9.845665504826503e-08
1739.6500347222245,3.1231149422359978e-06,1.741366896148159e-07
1746.6500347222245,9.330051766425762e-07,1.3239865131193468e-07
1753.6500347222245,7.083898116414819e-07,1.12171397967896e-07
1760.6500347222245,1.679877740612185e-06,1.3440661081278953e-07
1767.6500347222245,1.1381610715796785e-06,9.909018745736198e-08
1774.6500347222245,6.012959187646612e-07,8.608213701980539e-08
1781.6500347222245,1.6156263082599078e-06,1.1641619664624735e-07
1788.6500347222245,1.2044347113843464e-06,1.3925137338890698e-07
1795.6500347222245,8.798197806627838e-07,1.3655597771189648e-07
1802.6500347222245,3.723039506193586e-07,9.324728408453994e-08
1809.6500347222245,3.990692089183736e-07,1.3927232404209456e-07
1816.6500347222245,4.5258929291025303e-07,9.667965394044639e-08
1823.6500347222245,3.8803191113723645e-07,7.91980295775069e-08
1830.6500347222245,3.279169157121373e-07,7.526567452957645e-08
1837.6500347222245,9.984988511627574e-07,1.3575354981210863e-07
1844.6500347222245,2.66598497464838e-06,1.8763898139724187e-07
1851.6500347222245,5.503533010652936e-06,3.2700048246357727e-07
1858.6500347222245,9.66413317458259e-07,1.5743889832718068e-07
1865.6500347222245,5.622942137559288e-06,2.421736413899608e-07
1872.6500347222245,4.289922855684647e-06,1.4206099313392937e-07
1879.6500347222245,2.130792897595174e-06,1.6804758425088327e-07
1886.6500347222245,5.563617053891706e-07,8.592176762559656e-08
1893.6500347222245,5.966946533410861e-07,1.045703320324354e-07
1900.6500347222245,3.341062255814361e-07,9.256877983254194e-08
1907.6500347222245,6.570130002167751e-07,1.3162641223831693e-07
1914.6500347222245,3.1571291425412206e-07,8.499197208576293e-08
1921.6500347222245,4.3572840638132384e-07,1.3236488830396516e-07
1928.6500347222245,4.977512574403808e-07,7.81057480837125e-08
1935.6500347222245,8.263584326149245e-07,8.804895442786649e-08
1942.6500347222245,7.465653360403435e-07,9.817384052666804e-08
1949.6500347222245,1.1772945001609889e-06,1.3079614846678618e-07
1956.6500347222245,3.5479362709260616e-06,1.8109966064799787e-07
1963.6500347222245,2.5817138698953426e-06,1.8574204387995034e-07
1970.6500347222245,3.106681289752474e-06,1.6534416425682766e-07
1977.6500347222245,4.678708061363579e-06,1.7321344970111963e-07
1984.6500347222245,5.48582970740596e-06,1.6336690112176445e-07
1991.6500347222245,2.9805887302705486e-06,1.5507827586470737e-07
1998.6500347222245,4.399269945618189e-06,2.3223933910486644e-07
2005.6500347222245,1.103727497069207e-06,1.281605938787124e-07
2012.6500347222245,5.312976255758958e-07,1.080031712549628e-07
2019.6500347222245,6.904178973842449e-07,1.3769739921660283e-07
2026.6500347222245,1.0858092580184623e-06,1.9158810165393196e-07
2033.6500347222245,6.251380830471999e-07,8.943672789084525e-08
2040.6500347222245,9.24687944441494e-07,8.70075308473778e-08
2047.6500347222245,3.939118998226158e-07,7.086505370364315e-08
2054.6500347222245,2.789586310468032e-07,9.798488763425617e-08
2061.6500347222245,6.861263705338091e-07,1.3393851559442462e-07
2068.6500347222245,4.3585617631050257e-07,1.0745861869769478e-07
2075.6500347222245,2.6194663592826665e-07,1.23749096524783e-07
2082.6500347222245,2.5947169399511377e-07,8.534608180459937e-08
2089.6500347222245,5.496563153234332e-07,7.058753381045952e-08
2096.6500347222245,3.7179600354594073e-07,7.701879023097128e-08
2103.6500347222245,2.9694410023521084e-07,1.081209309618385e-07
2110.6500347222245,2.0686914921102067e-07,1.0910594521170705e-07
2117.6500347222245,3.0045298804678524e-07,1.0593982063759642e-07
2124.6500347222245,3.2696731751222944e-07,1.1424640532116415e-07
2131.6500347222245,1.9653168407177278e-07,8.361515249843942e-08
2138.6500347222245,8.610087521469172e-08,3.464928366800463e-08
2145.6500347222245,3.729507346204703e-07,6.773477763176188e-08
2152.6500347222245,4.416271686510108e-07,8.592766140335648e-08
2159.6500347222245,6.986214383614506e-07,1.0731886970833589e-07
2166.6500347222245,6.372087809953971e-07,1.210238962045324e-07
2173.6500347222245,6.074737896327952e-07,1.1158872908793825e-07
2180.6500347222245,3.9214828077092914e-07,1.2716522585635344e-07
2187.6500347222245,3.4544979277374676e-07,1.026680901963903e-07
2194.6500347222245,5.657513352771935e-07,2.026960945509254e-07
2201.6500347222245,4.5858085515604014e-07,8.838896163201333e-08
2208.6500347222245,4.7625453764026806e-07,8.83116375157622e-08
2215.6500347222245,2.970987469941213e-07,8.410053030336875e-08
2222.6500347222245,3.6516752115000153e-07,1.0238601565833859e-07
2229.6500347222245,3.611509888926756e-07,1.0287563256266239e-07
2236.6500347222245,2.645893219899522e-07,1.354302781244173e-07
2243.6500347222245,4.4633348657331795e-07,1.0333878268029914e-07
2250.6500347222245,3.1132090351378436e-07,7.634779466069008e-08
2257.6500347222245,5.512973859578496e-07,8.742348353841442e-08
2264.6500347222245,3.601688589143555e-07,8.634174016582178e-08
2271.6500347222245,1.2331282321450068e-06,1.2498544679466729e-07
2278.6500347222245,5.255085338453975e-07,1.0451210427685478e-07
2285.6500347222245,3.2421965358889445e-07,9.058129475238459e-08
2292.6500347222245,3.158446906524626e-07,9.747442325089345e-08
2299.6500347222245,8.267979415481439e-07,1.1825505811387281e-07
2306.6500347222245,5.767273152421138e-07,7.432482953682256e-08
2313.6500347222245,6.997811519010912e-07,8.170444566986052e-08
2320.6500347222245,7.930633833626017e-07,1.172863443797816e-07
2327.6500347222245,9.750373722545146e-07,1.1562163412180662e-07
2334.6500347222245,7.534282550325137e-07,1.1711672346514587e-07
2341.6500347222245,6.227212224510052e-07,1.2593566787225807e-07
2348.6500347222245,5.465565103180484e-07,8.641056608028275e-08
2355.6500347222245,1.490088028248172e-06,1.541382894223945e-07
2362.6500347222245,1.0742807284499606e-06,1.1747479245804936e-07
2369.6500347222245,5.598665404749433e-07,9.906070591288266e-08
2376.6500347222245,2.2209525913087696e-07,7.382233841490121e-08
2383.6500347222245,1.3735865952268589e-07,6.082901511323153e-08
2390.6500347222245,2.775921399091658e-07,8.516250175173661e-08
2397.6500347222245,5.051927190906516e-07,1.083311338246391e-07
2404.6500347222245,7.314797856029492e-07,1.0322707636156034e-07
2411.6500347222245,6.332168046327377e-07,1.1239926827915098e-07
2418.6500347222245,5.747649409400961e-07,8.015892131441817e-08
2425.6500347222245,3.271938439137129e-07,1.2209916630115116e-07
2432.6500347222245,2.421222359942449e-07,1.0074766733433128e-07
2439.6500347222245,3.6724503513438845e-07,1.0708213465826998e-07
2446.6500347222245,5.918459935978521e-07,1.1310205350671463e-07
2453.6500347222245,6.349204589111003e-07,9.792690754459557e-08
2460.6500347222245,6.16465955785925e-07,7.377743975779035e-08
2467.6500347222245,1.8324862989473737e-07,6.39617759813791e-08
2474.6500347222245,5.511809700106007e-07,1.1701253784633494e-07
2481.6500347222245,1.0069470648543268e-06,1.3220057406671324e-07
2488.6500347222245,4.5243967493368344e-07,1.2319912505283711e-07
2495.6500347222245,3.24499282242877e-07,1.1589289931473444e-07
2502.6500347222245,5.413152109564255e-07,1.2111360854549935e-07
2509.6500347222245,1.1211893785288056e-06,1.0984406044731203e-07
2516.6500347222245,6.475354713092049e-07,9.537234075894953e-08
2523.6500347222245,1.1101072415113403e-06,1.3151636599369816e-07
2530.6500347222245,1.424537692308961e-06,1.905600323933935e-07
2537.6500347222245,2.162915668316675e-06,1.8410978719517902e-07
2544.6500347222245,1.263858229028851e-06,1.9745515558893001e-07
2551.6500347222245,3.179329420320212e-06,2.0071178801307989e-07
2558.6500347222245,2.2295838195783715e-06,2.0333737462659058e-07
2565.6500347222245,1.8588182200059918e-06,1.226611634559041e-07
2572.6500347222245,1.992255133122885e-06,1.1714073030215016e-07
2579.6500347222245,1.534574736155153e-06,1.4354434785753408e-07
2586.6500347222245,2.5654694709183157e-06,1.0928030259747905e-07
2593.6500347222245,1.8776546032026785e-06,1.2449850016380357e-07
2600.6500347222245,3.559420170773568e-07,2.031761109171854e-07
2607.6500347222245,1.1676608242358913e-06,1.4367015717560491e-07
2614.6500347222245,5.80927965193473e-07,1.0159435805082673e-07
2621.6500347222245,5.99289764301582e-07,7.698769669069014e-08
2628.6500347222245,6.863446273156665e-07,6.977416679492136e-08
2635.6500347222245,5.521297935314475e-07,6.405034077452866e-08
2642.6500347222245,3.5646258502311125e-07,6.202956557034351e-08
2649.6500347222245,5.820379720970226e-07,9.230565255696648e-08
2656.6500347222245,4.0306588285023157e-07,6.214169371366851e-08
2663.6500347222245,4.008334066986007e-07,4.3535585898426205e-08
2670.6500347222245,5.520511247045845e-07,5.417144887709986e-08
2677.6500347222245,7.438383790918688e-07,1.157410626151031e-07
2691.6500347222245,4.755952097781439e-07,7.316644829895459e-08
2698.6500347222245,5.061548076393354e-07,6.711551861611104e-08
2705.6500347222245,2.4090922022351133e-07,5.207681005802228e-08
2712.6500347222245,2.918930037488541e-07,5.5849790414456146e-08
2719.6500347222245,3.2037234517484675e-07,5.67814945430881e-08
2726.6500347222245,3.043140234604952e-07,6.114405019413204e-08
2733.6500347222245,3.7295657353081255e-07,7.893186756492155e-08
2740.6500347222245,3.787773081278263e-07,7.367793800809593e-08
2747.6500347222245,4.509280417967421e-07,6.126416652818382e-08
2754.6500347222245,6.247549325021378e-07,7.082473862262147e-08
2761.6500347222245,3.054662234361265e-07,4.9761893518016745e-08
2768.6500347222245,4.3475905135176236e-07,7.394240157411043e-08
2775.6500347222245,6.812907809162368e-07,1.4988443398987262e-07
2782.6500347222245,6.190157296552057e-07,1.1696299517577619e-07
2789.6500347222245,7.594943738731167e-07,8.220678264066435e-08
2796.6500347222245,7.274196581553503e-07,1.0409227825426929e-07
2803.6500347222245,4.888184992394776e-07,1.4147279567786033e-07
2810.6500347222245,5.001323295691127e-07,8.501478912071448e-08
2817.6500347222245,9.461954694472299e-07,1.4622054819869677e-07
2824.6500347222245,8.086805316257179e-07,1.4548250363935492e-07
2831.6500347222245,1.1735640201005293e-06,1.165740370610234e-07
2838.6500347222245,8.648942273752193e-07,8.277011455929417e-08
2845.6500347222245,7.006962239411225e-07,1.1115108427293382e-07
2852.6500347222245,7.199516848780177e-07,1.0177658414139931e-07
2859.6500347222245,1.0823152600346755e-06,9.480365200622186e-08
2866.6500347222245,8.209245959571101e-07,9.314978181999458e-08
2873.6500347222245,1.0566836951225744e-06,6.79155342120879e-08
2880.6500347222245,7.579120495699632e-07,5.8554180867381975e-08
2887.6500347222245,4.1280817762045646e-07,9.56197068156933e-08
2894.6500347222245,3.782366429258125e-07,1.0078849999148273e-07
2901.6500347222245,5.150428498257335e-07,6.357306977676166e-08
2908.6500347222245,6.186034686096981e-07,9.721461105670873e-08
2915.6500347222245,1.195971579195037e-06,8.290425600999318e-08
2922.6500347222245,6.35163109544606e-07,7.534733290971224e-08
2929.6500347222245,5.733591155916969e-07,6.300795087772494e-08
2936.6500347222245,8.987639918383086e-07,7.075256305577173e-08
2943.6500347222245,1.1338415716496355e-06,9.914477164056478e-08
2950.6500347222245,1.214090377162912e-06,1.0501268996183336e-07
2957.6500347222245,1.3768139728440916e-06,1.0294078618706787e-07
2964.6500347222245,7.094149594861555e-07,9.238713578966643e-08
2971.6500347222245,2.781114192002175e-07,6.907174543516142e-08
2978.6500347222245,5.169052016586823e-07,6.672039742140672e-08
2985.6500347222245,3.97458049083334e-07,5.2854760000678806e-08
2992.6500347222245,6.677833129109052e-07,7.944624263529784e-08
2999.6500347222245,3.623943671992669e-07,7.64563296480226e-08
3006.6500347222245,4.1977913452188866e-07,9.611238505064349e-08
3013.6500347222245,3.0733139356903357e-07,9.7306270260972e-08
3020.6500347222245,3.4253871475882286e-08,2.3326387626465228e-08
3027.6500347222245,9.609753096857527e-08,5.397668359664774e-08
3034.6500347222245,1.823093927328936e-07,6.566467771481259e-08
3041.6500347222245,4.5783638710277945e-07,6.767678948307674e-08
3048.6500347222245,8.455773477560869e-07,7.953245945890727e-08
3055.6500347222245,1.1812826000441383e-06,8.990186213924732e-08
3062.6500347222245,8.557747690096618e-07,1.1393935342607156e-07
3069.6500347222245,5.307404511210256e-07,1.0842641686565038e-07
3076.6500347222245,3.4744662720439625e-07,1.0332130938065545e-07
3083.6500347222245,8.164403699856758e-07,1.6437023328304607e-07
3090.6500347222245,6.475173525358095e-07,1.0285905649004272e-07
3097.6500347222245,1.8993372145047021e-06,1.0795586348039857e-07
3104.6500347222245,2.1533553783344015e-06,1.308714069620369e-07
3111.6500347222245,4.2972305028111425e-06,1.3750002942282776e-07
3118.6500347222245,2.6394593423399236e-06,1.9721356532570542e-07
3125.6500347222245,2.5629015204557313e-06,1.8251671199402138e-07
3132.6500347222245,1.965553063278794e-06,1.5667155809192383e-07
3139.6500347222245,1.3187461440201425e-06,1.684038316685148e-07
3146.6500347222245,1.8050351635332024e-06,1.4710616366943058e-07
3153.6500347222245,3.880136511627492e-06,1.4040584047063924e-07
3160.6500347222245,3.5605521923679347e-06,1.6158467623935943e-07
3167.6500347222245,2.6191654782105107e-06,1.7532321094156927e-07
3174.6500347222245,1.17893732232773e-06,1.6866911304426496e-07
3181.6500347222245,1.1266365914172012e-06,1.564977804255032e-07
3188.6500347222245,1.3982302759353698e-06,9.637637422565536e-08
3195.6500347222245,1.5636838404604306e-06,1.5448645416884673e-07
3202.6500347222245,1.2178449470306949e-06,1.4543841367742227e-07
3209.6500347222245,2.079042725420866e-06,1.303294170164178e-07
3216.6500347222245,2.7238082568289047e-06,1.3487688285054744e-07
3223.6500347222245,1.3106820048180574e-06,1.3862655600410238e-07
3230.6500347222245,7.524754527959693e-07,1.2580736915235973e-07
3237.6500347222245,2.4345511993189164e-06,1.66560565335115e-07
3244.6500347222245,4.300518655340477e-06,2.018444872734761e-07
3251.6500347222245,7.412330061615578e-07,1.271520473443995e-07
3258.6500347222245,6.878878738963566e-07,1.0050203853569888e-07
3265.6500347222245,6.054563769085496e-07,8.022580915595584e-08
3272.6500347222245,1.2323199339544103e-06,1.1286216054854903e-07
3279.6500347222245,9.862833976798145e-07,1.321347918085694e-07
3286.6500347222245,9.501535488432179e-07,1.2913343145911195e-07
3293.6500347222245,1.1820949992632708e-06,1.207322122544062e-07
3300.6500347222245,3.789524832875316e-07,1.0473519503759038e-07
3307.6500347222245,2.663469031879136e-07,6.403085198900229e-08
3314.6500347222245,2.2924848618698213e-07,7.78957173367113e-08
3321.6500347222245,2.472704459395613e-07,6.013084639962613e-08
3328.6500347222245,3.105148396172245e-07,1.0461305190572576e-07
3335.6500347222245,2.522140599604371e-07,1.0438026290462304e-07
3342.6500347222245,1.528165181543002e-07,7.85778341989638e-08
3349.6500347222245,4.943937612671968e-07,1.0905098938807676e-07
3356.6500347222245,1.0163845500363561e-07,8.065461535848446e-08
3363.6500347222245,2.0562201832965318e-07,6.129858188344296e-08
3370.6500347222245,2.1309751607491036e-07,5.991043027793195e-08
3377.6500347222245,4.795015257271119e-07,7.33128274358865e-08
3384.6500347222245,5.503601013583789e-07,8.640472589615764e-08
3391.6500347222245,1.5024811866716342e-07,8.052356307937873e-08
